,STDR_DE_ID,ADSTRD_CODE_SE,TOT_LVPOP_CO,MALE_F0T9_LVPOP_CO,MALE_F10T14_LVPOP_CO,MALE_F15T19_LVPOP_CO,MALE_F20T24_LVPOP_CO,MALE_F25T29_LVPOP_CO,MALE_F30T34_LVPOP_CO,MALE_F35T39_LVPOP_CO,MALE_F40T44_LVPOP_CO,MALE_F45T49_LVPOP_CO,MALE_F50T54_LVPOP_CO,MALE_F55T59_LVPOP_CO,MALE_F60T64_LVPOP_CO,MALE_F65T69_LVPOP_CO,MALE_F70T74_LVPOP_CO,FEMALE_F0T9_LVPOP_CO,FEMALE_F10T14_LVPOP_CO,FEMALE_F15T19_LVPOP_CO,FEMALE_F20T24_LVPOP_CO,FEMALE_F25T29_LVPOP_CO,FEMALE_F30T34_LVPOP_CO,FEMALE_F35T39_LVPOP_CO,FEMALE_F40T44_LVPOP_CO,FEMALE_F45T49_LVPOP_CO,FEMALE_F50T54_LVPOP_CO,FEMALE_F55T59_LVPOP_CO,FEMALE_F60T64_LVPOP_CO,FEMALE_F65T69_LVPOP_CO,FEMALE_F70T74_LVPOP_CO
789,2020-05-01,280320.0,16482949.875,517240.26561999996,350602.0947,584736.99414,480317.12888999993,649193.1406200001,657255.98048,748590.26756,713634.6796899999,789829.61328,586158.75782,488377.37891999993,387883.12695999997,300075.87794,592802.9921800001,500152.7187299999,325887.88184,566879.1659900001,672734.3749999999,770927.93359,711047.44923,763952.0742099999,724924.8554499999,752896.44335,545597.5664199999,533548.41212,490696.8398400001,384604.3056399999,892401.50392
790,2020-05-02,280320.0,16383048.0625,513765.7343799999,347218.38087000005,621863.3417999999,486266.72265,648190.70898,648636.6933299998,726382.24413,692620.65236,773502.87109,586310.96678,494047.71485000005,392706.40039,300219.584,589873.41991,503609.97265000007,327416.1513899999,610333.7871,673377.5234699999,752317.4980799999,705381.5918299999,744857.1953100001,709359.2832100001,746601.6679700001,541219.61522,524266.26954999997,475698.35545,373519.75587,873483.9687300001
791,2020-05-03,280320.0,15665792.125,514891.72461000003,342243.11425999994,596232.9980499999,460392.90820999997,613817.2167999999,613485.1699199999,690180.959,666006.6543099999,752164.1308400001,564393.0351500001,466088.09179000003,369158.21484,290052.78518,574083.0957000001,506745.38672,325937.74509,581361.83203,608367.4960799998,679882.1894600001,646568.69921,707544.30859,683527.0019400001,720041.32421,517941.95114,498065.07227,452183.20507,363612.43749,860823.3789499999
792,2020-05-04,280320.0,18640632.8125,537652.31251,361806.68261,599445.55078,492874.51757,761171.1835699999,808560.3183699999,938307.9863399998,875376.75197,925058.4081999998,683071.6445099998,571584.02345,440553.32227,334488.13281,633335.8066499999,523693.02540000004,339830.92578000005,579683.56834,741604.125,968293.8164099999,890234.0097599999,900833.89844,820214.0410300001,826298.32421,598080.14259,589110.8086100001,538246.8320299999,420791.4795,940430.9648599997
793,2020-05-05,280320.0,16466763.125,540229.7695299999,359070.49513999996,589222.4843700001,464432.96874,643876.35935,655474.4941299999,744187.6269700001,722180.31445,796198.0918,602256.0097599999,498681.54295999993,393659.99611,303521.60741,589579.84573,522111.7831900001,333539.65039,560672.4941400001,634522.13086,735802.7793100001,713072.8496199999,758616.6426,725032.5019599999,755025.4863400001,545426.33007,532129.74218,486713.02345,382011.05370999995,879514.91797
794,2020-05-06,280320.0,20907549.0625,559628.16601,378493.3642400001,611782.89258,517573.97854000004,887152.4570299999,986955.39843,1187098.0253899998,1077581.16796,1078069.41602,757862.94923,619086.8769499998,464039.66698000004,350122.45704000007,651502.65822,546866.0078,354956.07911,598667.3652599999,834063.1132600001,1206091.1171799998,1103135.58006,1071743.7988200001,926300.3437399996,890248.10545,630885.2031500001,622286.9179700001,570947.88867,446755.60354000004,977652.44921
795,2020-05-07,280320.0,21112533.3125,565582.44531,383407.05958,610980.95507,518472.9843799999,898241.1738099998,1009290.1972500001,1209919.63869,1092889.6152599999,1095754.52735,764089.1972600002,626789.7949299999,468476.15429999994,352633.30467,654092.63869,547209.3281399999,356778.28614000004,594501.94921,845154.70901,1225562.5390600003,1119126.20704,1085308.5956999997,936930.64846,895651.81444,632235.7245899999,626940.29103,571921.8457000001,448595.6289,975996.15237
796,2020-05-08,280320.0,20889991.8125,565841.78712,382196.49314000004,615243.7246099999,529000.88865,889441.2226600002,984542.8242199997,1183913.9824199998,1071855.02149,1071976.59766,755686.03517,623105.62306,469871.19042000006,352402.31837,653597.56638,544200.4863400001,354853.01368000003,600986.6152400002,835044.72265,1193210.5254,1090350.03126,1060552.81639,926275.19334,889994.2402699998,627527.1875,627230.2539200002,570090.1523500001,445220.0331899998,975781.3828099997
797,2020-05-09,280320.0,17789762.25,561046.4609399999,379499.4736399999,645084.82423,516454.625,709839.7734300002,723698.4296800001,826127.4843799999,784502.3339800002,860381.91991,639871.9570100001,533953.80078,424500.93262,324462.4462900001,616907.8105500002,548184.9843799999,355893.33302,630143.05662,708915.45118,834720.7909999999,790688.30665,829982.18555,786203.8867099999,804491.1035000001,575950.3281200001,567325.2695500001,508597.38669,397883.52929,904450.28906
798,2020-05-10,280320.0,16471421.375,549802.39647,370117.24902999995,618860.53125,475782.3047,641047.19144,648373.19335,740900.1855299999,713934.3886599999,800514.0820099999,589890.4882899999,477068.8906100001,380916.83984999993,302980.60449,588936.89256,529252.5703199999,340354.7499900001,595011.1582,629405.1542799999,724242.83199,705061.8066199999,766776.34183,738723.0488499999,761451.9355599999,541224.4726799999,518733.0996,471414.3183499999,373985.93260000006,876658.7812700002
